user_id,age,workclass,salary,education_rank,marital-status,occupation,race,sex,mins_beerdrinking_year,mins_exercising_year,works_hours,tea_per_year,coffee_per_year,great_customer_class,test,spent_17,spent_18
1004889,14,private,70773,9,Never-married,sales,not_caucasian,Male,0,0,40,399,NA,0,0,18.29702382756472,41.66411550022203
1012811,25,private,76597,9,Divorced,sales,caucasian,Female,0,0,30,256,NA,0,1,61.52783855453913,79.8767437178272
1006870,21,private,47947.25,10,Never-married,clerical,caucasian,Female,0,0,10,442,276,0,0,29.813542748298868,36.155701158433025
1022149,23,private,41740.25,7,Divorced,sales,caucasian,Female,0,0,20,NA,NA,0,0,69.9388082324578,72.75426303917021
1029558,26,private,NA,9,Married,sales,not_caucasian,Male,NA,0,36,NA,120,0,1,57.916135752540654,70.0049675688886
1022394,26,private,59060.5,15,Never-married,professional,caucasian,Female,0,0,30,177,377,0,1,74.03047670274492,81.74067803558214
1026358,58,private,56400.75,5,Divorced,farm,not_caucasian,Male,0,0,40,11,98,0,0,83.33808772787606,80.09498155063827
1026126,23,private,11329.25,10,Divorced,sales,caucasian,Female,0,0,40,29,276,0,0,43.18038881603209,52.342830006284686
1011738,14,private,21850.5,10,Never-married,craft,caucasian,Male,0,0,40,375,NA,0,0,38.78354726895872,32.760935691151076
1024034,33,private,55331,9,Never-married,factory,not_caucasian,Female,0,0,40,375,77,0,1,45.34525343721042,64.93144278727894
1039999,40,private,70919,10,Divorced,craft,caucasian,Male,NA,0,40,309,NA,0,0,25.69820603200509,39.2586578630273
1041701,18,private,15245.25,10,Never-married,sales,caucasian,Female,2176,0,35,NA,159,0,0,46.69517982800188,59.01302406824454
1020916,18,private,44170.75,12,Never-married,professional,caucasian,Male,0,0,40,481,NA,0,0,28.555359891550488,28.240583312384835
1048161,59,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0,0,40,175,499,0,0,60.371159608974565,70.34685287301241
1019087,47,government,47096.5,14,Divorced,professional,caucasian,Male,0,0,38,39,312,0,0,57.24610923171,67.36080346132798
1017739,76,NA,52863.25,9,Widowed,NA,not_caucasian,Female,0,NA,2,305,228,0,0,45.211067961882954,62.41653731949612
1033665,35,private,80048,2,Married,service,caucasian,Female,0,0,40,NA,NA,0,1,55.00187418208449,71.13904678424403
1036508,40,NA,16386.25,14,Divorced,NA,caucasian,Female,0,0,55,NA,177,0,0,85.72051772591138,94.43177081895821
1024759,30,government,NA,14,Married,professional,not_caucasian,Male,0,0,10,208,37,0,0,58.70222484999555,68.25259517053493
1041378,47,government,35977.5,13,Divorced,executive,caucasian,Male,0,NA,40,37,NA,0,0,52.33926574941079,59.81152547264403
1012715,67,government,41921.75,9,Married,executive,caucasian,Male,3456,0,35,446,41,0,0,3.586115682616512,29.739471732937435
1032084,20,private,37776.25,12,Never-married,sales,caucasian,Female,0,0,25,152,436,0,0,63.32388545392036,66.28674223034818
1040534,44,private,17187,10,Married,sales,caucasian,Male,0,0,48,NA,274,0,1,70.21757402280465,96.66455547758837
1015941,19,private,28195,10,Never-married,sales,caucasian,Female,0,0,20,NA,130,0,0,60.54169639923125,90.14376816059932
1017078,25,private,79172,9,Never-married,factory,not_caucasian,Male,0,0,40,242,457,0,0,61.652732747724784,54.753634921182325
1031332,35,private,70241.5,10,Married,sales,caucasian,Male,0,0,40,NA,185,0,1,62.846785475593684,59.03316568322032
1022771,51,private,34713,9,Married,craft,caucasian,Male,0,0,40,NA,183,0,0,44.720647288766386,41.383355992120656
1025552,21,private,18148.25,9,Never-married,service,caucasian,Male,0,0,40,245,462,0,0,38.398872669564746,67.07280615816241
1040097,32,private,19121.75,9,Married,clerical,caucasian,Male,0,0,45,NA,NA,0,0,75.35821316571932,76.96590811908294
1016721,29,private,90856.25,13,Never-married,professional,caucasian,Male,0,0,40,405,386,0,1,1.5690461389815074,20.977007298033953
1027323,50,private,84401.5,9,Married,factory,caucasian,Male,NA,1485,40,NA,490,0,0,76.4635294528161,86.9361861257752
1046808,30,private,26223,13,Married,tech,caucasian,Male,0,0,40,NA,NA,0,1,40.43017397341866,34.1857363045856
1026913,41,government,49389.5,13,Divorced,executive,caucasian,Male,0,0,40,341,14,0,0,109.8514795659484,106.55277505101078
1021657,33,private,21687.5,11,Married,craft,caucasian,Male,0,0,99,78,NA,0,1,27.380755228932458,60.58828324216616
1047993,24,private,70240,9,Married,factory,caucasian,Female,0,0,24,45,247,0,0,62.141327536243566,65.00907649042476
1022127,33,private,27749.5,9,Never-married,service,not_caucasian,Female,0,0,36,NA,353,0,1,53.08794018411669,81.52301877194412
1018692,36,government,79743,10,Divorced,clerical,caucasian,Female,0,0,65,NA,222,0,0,87.01207395915839,97.4609323514968
1013482,33,private,44670.75,10,Married,factory,caucasian,Male,5013,0,40,368,66,0,0,18.40252901098943,14.6617703108076
1029653,25,private,63962.25,9,Never-married,clerical,caucasian,Female,0,0,40,NA,363,0,1,44.96619971870549,53.68645787594514
1041196,46,private,18723.75,12,Married,craft,caucasian,Male,0,1485,55,NA,191,0,0,7.699741762376204,30.418306412620225
1027830,14,private,49160.75,10,Never-married,service,caucasian,Male,0,0,20,478,NA,0,0,78.14370954499908,73.06375693944803
1030514,40,private,19493.75,10,Married,executive,caucasian,Male,0,0,40,NA,322,0,0,57.04753890958615,60.49072639317631
1046854,24,private,28141,9,Married,trucker,caucasian,Male,0,0,45,120,NA,0,0,55.93383772690574,91.20030774613682
1040473,34,private,9302.5,9,Never-married,clerical,caucasian,Male,0,0,50,NA,50,0,1,84.22503602561486,58.07837872642212
1028553,41,private,49479.75,9,Married,clerical,caucasian,Female,0,0,60,497,200,0,0,40.30137389172615,48.78261526117789
1034360,22,private,57188,9,Never-married,cleaner,caucasian,Male,0,NA,40,179,438,0,0,77.39324547213727,97.40618804164089
1018348,NA,private,24709.25,9,Widowed,clerical,caucasian,Female,0,0,40,381,NA,0,1,56.71689670712725,68.25259517053493
1012810,33,government,86018.25,13,Never-married,lawenf,caucasian,Male,0,1408,50,NA,100,0,1,76.69564202972072,110.10262294079217
1047244,34,private,57101.5,10,Never-married,clerical,not_caucasian,Female,0,0,40,168,496,0,1,67.35881779337402,75.77809039549533
